"Entry","Positive","Strong","Active","Role","Negative","Weak","Passive","Object"
"SAMPLE#1",,,,,,,,
"SAMPLE#2",,,,,,,,
"SANCTIFY","Positiv",,"Active",,,,,
"SANCTION#1",,"Strong",,,,,,
"SANCTION#2",,"Strong",,,,,"Passive",
"SANCTITY",,,,,,,,
"SANCTUARY","Positiv",,,,,,,
"SAND",,,,,,,,
"SANDY",,,,,,,,
"SANE","Positiv",,,,,,,
"SANG",,,"Active",,,,,
"SANGUINE","Positiv",,,,,,,
"SANITARY","Positiv",,,,,,,
"SANITATION",,,,,,,,
"SANITY","Positiv",,,,,,,
"SANK",,,,,"Negativ","Weak",,
"SANS",,,,,,,,
"SAP",,,,,"Negativ","Weak",,
"SARCASM",,,,,"Negativ",,,
"SARCASTIC",,,,,"Negativ",,,
"SARDINIA",,,,,,,,
"SAT#1",,,,,,,,
"SATELLITE",,,,,,,,"Object"
"SATIRE",,,,,,,,
"SATISFACTION","Positiv",,,,,,"Passive",
"SATISFACTORILY","Positiv",,,,,,,
"SATISFACTORY","Positiv",,,,,,,
"SATISFY#1","Positiv","Strong",,,,,,
"SATISFY#2","Positiv",,,,,,"Passive",
"SATISFY#3","Positiv","Strong",,,,,,
"SATURDAY",,,,,,,,
"SAVAGE",,,,,"Negativ",,,
"SAVE#1","Positiv","Strong","Active",,,,,
"SAVE#2",,,,,,,,
"SAVE#3",,,,,,,,
"SAVE#4",,,,,,,,
"SAVINGS","Positiv",,,,,,,
"SAVOR","Positiv",,,,,,"Passive",
"SAVVY","Positiv","Strong",,,,,,
"SAW#1",,,,,,,"Passive",
"SAW#2",,,,,,,,"Object"
"SAW#3",,,"Active",,,,,
"SAW#4",,,"Active",,,,,
"SAY#1",,,"Active",,,,,
"SAY#2",,,,,,,,
"SAY#3",,,,,,,,
"SAY#4",,"Strong",,,,,,
"SAY#5",,,,,,,,
"SAY#6",,,,,,,,
"SAY#7",,,,,,,,
"SCALD",,,,,"Negativ",,"Passive",
"SCALE#1",,,,,,,,
"SCALE#2",,,"Active",,,,,
"SCAMPER","Positiv",,"Active",,,,,
"SCANDAL",,,,,"Negativ",,,"Object"
"SCANDALOUS",,,,,"Negativ",,,
"SCANT",,,,,,"Weak",,
"SCAPEGOAT",,,,,"Negativ","Weak",,
"SCAR",,,,,"Negativ","Weak","Passive",
"SCARCE",,,,,,"Weak",,
"SCARCELY",,,,,,"Weak",,
"SCARCITY",,,,,"Negativ",,,
"SCARE#1",,"Strong","Active",,"Negativ",,,
"SCARE#2",,,,,"Negativ","Weak","Passive",
"SCARE#3",,,"Active",,,,,
"SCARED#1",,,,,"Negativ","Weak","Passive",
"SCARED#2",,"Strong",,,"Negativ",,,
"SCARY",,,,,"Negativ",,,
"SCATTER",,"Strong","Active",,,,,
"SCENE",,,,,,,,
"SCENERY",,,,,,,,
"SCEPTICAL#1",,,,,,,,
"SCHEDULE#1",,,,,,,,
"SCHEDULE#2",,,"Active",,,,,
"SCHEMATICALLY",,,,,,,,
"SCHEME#1",,,,,"Negativ",,,
"SCHEME#2",,,,,"Negativ",,,
"SCHOLAR",,,,"Role",,,,
"SCHOLARSHIP",,,,,,,,
"SCHOLASTIC",,,,,,,,
"SCHOOL#1",,,,,,,,
"SCHOOL#2",,,"Active",,,,,
"SCHOOL#3",,,,,,,,
"SCHOOL#4",,,,,,,,
"SCHOOLROOM",,,,,,,,"Object"
"SCIENCE#1",,,,,,,,
"SCIENCE#2",,,,,,,,
"SCIENTIFIC",,,,,,,,
"SCIENTIST",,,,"Role",,,,
"SCOFF",,,,,"Negativ",,,
"SCOLD#1",,,"Active",,"Negativ",,,
"SCOLD#2",,,"Active",,"Negativ",,,
"SCOPE",,,,,,,,
"SCORCH",,,"Active",,"Negativ",,,
"SCORE#1",,,,,,,,
"SCORE#2",,,,,,,,
"SCORN",,,,,"Negativ",,,
"SCORNFUL",,,,,"Negativ",,,
"SCOTLAND",,,,,,,,
"SCOTTISH",,,,,,,,
"SCOUNDREL",,,,,"Negativ",,,
"SCOWL",,,"Active",,"Negativ",,,
"SCRAMBLE",,,"Active",,,"Weak",,
"SCRAPE",,,"Active",,"Negativ",,,
"SCRATCH",,,"Active",,,"Weak",,
"SCRAWL",,,,,,"Weak",,
"SCREAM#1",,,,,"Negativ",,,
"SCREAM#2",,,,,"Negativ",,,
"SCREECH#1",,,,,"Negativ",,,
"SCREECH#2",,,,,"Negativ",,,
"SCREW#1",,,,,,,,"Object"
"SCREW#2",,,"Active",,"Negativ",,,
"SCRUB#1",,,,,,,,
"SCRUB#2",,,"Active",,,,,
"SCRUPLES","Positiv",,,,,,,
"SCRUPULOUS","Positiv",,,,,,,
"SCRUTINIZE",,,"Active",,"Negativ",,,
"SCRUTINY",,,,,,,,
"SCUFFLE",,,,,"Negativ",,,
"SCULPTURE#1",,,,,,,,"Object"
"SCULPTURE#2",,,,,,,,
"SCUM",,,,,"Negativ",,,
"SEA",,,,,,,,
"SEAL#1",,,,,,,,
"SEAL#2",,,"Active",,,,,
"SEAMAN",,,,"Role",,,,
"SEAMEN",,,,"Role",,,,
"SEARCH#1",,,"Active",,,,,
"SEARCH#2",,,"Active",,,,,
"SEARCH#3",,"Strong","Active",,,,,
"SEARCHER",,,"Active","Role",,,,
"SEASHORE",,,,,,,,
"SEASON",,,,,,,,
"SEAT#1",,,,,,,"Passive",
"SEAT#2",,,,,,,,
"SEAT#3",,,,,,,,"Object"
"SEAT#4",,,"Active",,,,,
"SEATO",,,,,,,,
"SECEDE",,,,,"Negativ",,,
"SECESSION",,,,,"Negativ",,,
"SECOND#1",,,,,,,,
"SECOND#2",,,,,,,,
"SECOND#3",,,,,,,,
"SECOND#4",,"Strong",,,,,,
"SECONDARY#1",,,,,,,,
"SECONDARY#2",,,,,,,,
"SECRECY",,,,,"Negativ",,,
"SECRET",,,,,"Negativ",,,
"SECRETARY#1",,,,"Role",,,,
"SECRETARY#2",,,,"Role",,,,
"SECT",,,,,,,,
"SECTION",,,,,,,,
"SECTOR",,,,,,,,
"SECURE#1",,"Strong","Active",,,,,
"SECURE#2","Positiv",,,,,,,
"SECURE#3","Positiv","Strong",,,,,,
"SECURITY#1","Positiv",,,,,,,
"SECURITY#2","Positiv",,,,,,,"Object"
"SECURITY#3",,,,,,,,
"SECURITY#4",,,,,,,,
"SECURITY#5",,,,,,,,
"SECURITY-COUNCIL",,,,,,,,
"SEDAN",,,,,,,,"Object"
"SEDENTARY",,,,,"Negativ",,,
"SEDIMENT",,,,,,,,"Object"
"SEDITION",,,,,,,,
"SEDITIOUS",,,,,,,,
"SEDUCE",,,,,,,,
"SEE",,,,,,,"Passive",
"SEED",,,,,,,,"Object"
"SEEK",,,"Active",,,,,
"SEEKER",,,"Active","Role",,,,
"SEEM#1",,,,,,,,
"SEEM#2",,,,,,,,
"SEEN",,,,,,,"Passive",
"SEETHE",,,"Active",,"Negativ",,,
"SEGMENT",,,,,,,,
"SEGREGATION",,,,,"Negativ",,,
"SEIZE",,"Strong","Active",,"Negativ",,,
"SELDOM",,,,,,,,
"SELECT",,,"Active",,,,,
"SELECTION",,,"Active",,,,,
"SELECTIVE","Positiv",,"Active",,,,,
"SELF",,,,"Role",,,,
"SELF-CONTAINED","Positiv","Strong",,,,,,
"SELF-DETERMINATION",,,,,,,,
"SELF-GOVERNING",,,,,,,,
"SELF-GOVERNMENT",,,,,,,,
"SELF-RESPECT","Positiv",,,,,,,
"SELFISH",,,,,"Negativ",,,
"SELFISHNESS",,,,,"Negativ",,,
"SELL#1",,,"Active",,,,,
"SELL#2",,,"Active",,,,,
"SELLER",,,,"Role",,,,
"SEMANTIC",,,,,,,,
"SEMBLANCE","Positiv",,,,,,,
"SEMESTER",,,,,,,,
"SEMINARY",,,,,,,,
"SENATE",,"Strong",,,,,,
"SENATOR",,"Strong",,"Role",,,,
"SEND#1",,,"Active",,,,,
"SEND#2",,,"Active",,,,,
"SENEGAL",,,,,,,,
"SENILE",,,,,"Negativ",,,
"SENIOR#1",,,,"Role",,,,
"SENIOR#2",,"Strong",,,,,,
"SENSATIONAL","Positiv","Strong",,,,,,
"SENSE#1",,,,,,,"Passive",
"SENSE#2",,,,,,,,
"SENSE#3","Positiv",,,,,,,
"SENSE#4",,,,,,,,
"SENSE#5","Positiv",,,,,,,
"SENSE#6",,,,,,,"Passive",
"SENSE#7",,,,,,,,
"SENSELESS",,,,,"Negativ",,,
"SENSIBLE","Positiv",,,,,,,
"SENSITIVE","Positiv",,,,,,,
"SENSITIVITY","Positiv",,,,,,,
"SENSORY",,,,,,,,
"SENT",,,"Active",,,,,
"SENTENCE#1",,,,,,,,
"SENTENCE#2",,"Strong","Active",,"Negativ",,,
"SENTIMENT",,,,,,"Weak","Passive",
"SENTIMENTAL",,,,,,"Weak","Passive",
"SEPARATE#1",,,"Active",,,,,
"SEPARATE#2",,,,,,,,
"SEPARATE#3",,,,,,,,
"SEPARATION",,,,,,,,
"SEPTEMBER",,,,,,,,
"SEQUENCE",,,,,,,,
"SEQUESTER",,,,,"Negativ",,,
"SERENE","Positiv","Strong",,,,,"Passive",
"SERGEANT",,,,"Role",,,,
"SERIES",,,,,,,,
"SERIOUS","Positiv",,,,,,,
"SERIOUSNESS","Positiv",,,,,,,
"SERMON",,,,,,,,
"SERUM",,,,,,,,"Object"
"SERVANT",,,,"Role",,,,
"SERVE#1",,,"Active",,,"Weak",,
"SERVE#2",,,"Active",,,,,
"SERVE#3",,,,,,,,
"SERVE#4",,,,,"Negativ",,,
"SERVICE#1",,,,,,,,
"SERVICE#2",,,,,,,,
"SERVICE#3",,,,,"Negativ","Weak",,
"SERVICE#4",,,,,,,,
"SERVICE#5",,,,,,,,
"SERVICE#6",,,,,,,,
"SERVICEMEN",,,,,,,,
"SERVITUDE",,,,,"Negativ","Weak",,
"SESSION",,,,,,,,
"SET#1",,,"Active",,,,,
"SET#10",,,,,,,,
"SET#11",,,,,,,,
"SET#2",,,,,,,,
"SET#3",,"Strong",,,,,"Passive",
"SET#4",,,"Active",,,,,
"SET#5",,,,,,,,"Object"
"SET#6",,,,,,,,
"SET#7",,,"Active",,,,,
"SET#8",,,"Active",,,,,
"SET#9",,,,,,,,
"SET#_10",,,,,,,,
"SET#_11",,,,,,,,
"SETTER",,,,,,,,
"SETTLE#1",,"Strong","Active",,,,,
"SETTLE#2",,"Strong","Active",,,,,
"SETTLE#3",,,,,,,"Passive",
"SETTLE#4","Positiv","Strong",,,,,"Passive",
"SETTLEMENT",,,,,,,,
"SETTLER",,,,"Role",,,,
"SETUP",,,,,,,,
"SEVEN",,,,,,,,
"SEVENTEEN",,,,,,,,
"SEVENTEENTH#1",,,,,,,,
"SEVENTH#1",,,,,,,,
"SEVENTY",,,,,,,,
"SEVER",,,,,"Negativ",,,
"SEVERAL#1",,,,,,,,
"SEVERAL#2",,,,,,,,
"SEVERE",,"Strong",,,"Negativ",,,
"SEVERITY",,"Strong",,,"Negativ",,,
"SEW",,,,,,,,
"SEX",,,,,,,,
"SEXUAL",,,,,,,,
"SHABBY",,,,,"Negativ","Weak",,
"SHADE#1",,,,,,,,
"SHADE#2",,,,,,,,
"SHADOW#1",,,,,,,,
"SHADOW#2",,,"Active",,"Negativ",,,
"SHADY",,,,,"Negativ",,,
"SHAFT#1",,,,,,,,"Object"
"SHAFT#2",,,,,,,,
"SHAGGY",,,,,"Negativ",,,
"SHAKE#1",,,"Active",,"Negativ",,,
"SHAKE#2",,,,,,,,
"SHAKEN#1",,,,,,,,
"SHAKER",,,,,,,,"Object"
"SHALL",,,,,,,,
"SHALLOW",,,,,"Negativ","Weak",,
"SHAME",,,,,"Negativ",,"Passive",
"SHAMEFUL",,,,,"Negativ",,,
"SHAMELESS",,,,,"Negativ",,,
"SHAPE#1",,,,,,,,
"SHAPE#2",,"Strong","Active",,,,,
"SHAPE#3",,,,,,,,
"SHAPELY",,,,,,,,
"SHARE#1","Positiv",,,,,,,
"SHARE#2",,,,,,,,
"SHARE#3","Positiv",,,,,,,
"SHARE#4","Positiv",,,,,,,
"SHARK",,,,,"Negativ",,,
"SHARP",,"Strong",,,,,,
"SHARPEN",,,"Active",,,,,
"SHATTER",,"Strong","Active",,,,,
"SHE",,,,,,,,
"SHED#1",,,,,,,,
"SHED#2",,,,,,,,
"SHEEP",,,,,,,,
"SHEER",,,,,,,,
"SHEET",,,,,,,,"Object"
"SHELF",,,,,,,,"Object"
"SHELL#1",,"Strong",,,,,,
"SHELL#2",,"Strong",,,"Negativ",,,"Object"
"SHELL#3",,"Strong","Active",,"Negativ",,,
"SHELTER#1","Positiv",,,,,,,
"SHELTER#2","Positiv","Strong",,,,,,
"SHELVES",,,,,,,,"Object"
"SHERIFF",,"Strong",,"Role",,,,
"SHIELD","Positiv",,"Active",,,,,
"SHIFT#1",,,"Active",,,,,
"SHIFT#2",,,,,,,,
"SHIFT#3",,"Strong","Active",,,,,
"SHIFT#4",,,,,,,,
"SHIFT#5",,,,,,"Weak",,
"SHINE#1",,,,,,,,
"SHINE#2",,,,,,,,
"SHINY","Positiv",,,,,,,
"SHIP#1",,,,,,,,"Object"
"SHIP#2",,,"Active",,,,,
"SHIP#3",,,,,,,,"Object"
"SHIP#4",,,,,,,,
"SHIPBUILDING",,,,,,,,
"SHIPMENT",,,,,,,,
"SHIPWRECK",,,,,"Negativ",,,"Object"
"SHIRK",,,"Active",,"Negativ","Weak",,
"SHIRT",,,,,,,,"Object"
"SHIVER",,,,,"Negativ",,"Passive",
"SHOCK#1",,"Strong",,,"Negativ",,,
"SHOCK#2",,"Strong","Active",,"Negativ",,,
"SHOCK#3",,,,,"Negativ","Weak","Passive",
"SHOCK#4",,"Strong",,,"Negativ",,,
"SHOCK#5",,"Strong",,,"Negativ",,,
"SHODDY",,,,,"Negativ","Weak",,
"SHOE#1",,,,,,,,"Object"
"SHOE#2",,,,,,,,
"SHOOK#1",,,,,,,,
"SHOOT#1",,"Strong","Active",,"Negativ",,,
"SHOOT#2",,,"Active",,,,,
"SHOOT#3",,"Strong","Active",,"Negativ",,,
"SHOOT#4",,,,,,,,
"SHOOT#5",,,,,,,,
"SHOOT#6",,,,,"Negativ",,,
"SHOOT#7",,"Strong","Active",,,,,
"SHOP#1",,,,,,,,
"SHOP#2",,,"Active",,,,,
"SHOP#3",,,"Active",,,,,
"SHORE",,,,,,,,
"SHORT#1",,,,,,,,
"SHORT#2",,,,,,,,"Object"
"SHORT#3",,,,,,,,
"SHORT#4",,,,,,,,
"SHORT#5",,,,,"Negativ","Weak",,
"SHORT#6",,,,,,,,
"SHORT-TERM",,,,,,,,
"SHORTAGE",,,,,"Negativ","Weak",,
"SHORTCOMING",,,,,"Negativ",,,
"SHORTEN",,,"Active",,,,,
"SHORTSIGHTED",,,,,"Negativ","Weak",,
"SHOT#1",,"Strong","Active",,"Negativ",,,
"SHOT#2",,,,,,,,
"SHOT#3",,,,,,,,
"SHOT#4",,,,,,,,
"SHOT#5",,,,,,,,
"SHOULD",,,,,,,,
"SHOULDER#1",,,,,,,,
"SHOULDER#2",,"Strong","Active",,,,,
"SHOUT#1",,,"Active",,,,,
"SHOUT#2",,,"Active",,,,,
"SHOUT#3",,,"Active",,,,,
"SHOVE",,,"Active",,"Negativ",,,
"SHOW#1",,"Strong","Active",,,,,
"SHOW#2",,,,,,,,
"SHOW#3",,"Strong","Active",,,,,
"SHOW#4",,,"Active",,"Negativ",,,
"SHOW#5",,,,,,,,
"SHOWER#1",,,,,,,,
"SHOWER#2",,,,,,,,
"SHOWN#1",,,,,,,,
"SHRANK",,,,,,"Weak","Passive",
"SHRED",,,"Active",,"Negativ",,,
"SHREW",,,,,"Negativ",,,
"SHREWD","Positiv","Strong",,,,,,
"SHREWDNESS","Positiv","Strong",,,,,,
"SHRIEK",,"Strong",,,"Negativ",,,
"SHRILL",,,,,"Negativ",,,
"SHRINK",,,,,,"Weak","Passive",
"SHRIVEL",,,,,"Negativ",,,
"SHROUD",,,,,"Negativ",,,"Object"
"SHRUG#1",,,,,"Negativ",,,
"SHRUG#2",,,,,"Negativ",,,
"SHRUNK",,,,,,"Weak","Passive",
"SHUDDER#1",,,,,,,"Passive",
"SHUDDER#2",,,,,,,"Passive",
"SHUN",,,"Active",,"Negativ",,,
"SHUT#1",,"Strong","Active",,,,,
"SHUT#2",,,,,,,,
"SHUT#3",,"Strong","Active",,,,,
"SHUT#4",,"Strong","Active",,,,,
"SHUTTER",,,,,,,,"Object"
"SHY",,,,,,"Weak","Passive",
"SHYNESS",,,,,"Negativ","Weak",,
"SICK#1",,,,,"Negativ","Weak","Passive",
"SICK#2",,,,,"Negativ","Weak","Passive",
"SICK#3",,,,,"Negativ","Weak","Passive",
"SICK#4",,,,,"Negativ",,"Passive",
"SICKLY",,,,,"Negativ","Weak","Passive",
"SICKNESS",,,,,"Negativ","Weak","Passive",
"SIDE#1",,,,,,,,
"SIDE#2",,,,,,,,
"SIDE#3",,,,,,,,
"SIDE#4",,,,,,,,
"SIDEWALK",,,,,,,,
"SIEGE",,,,,"Negativ",,,
"SIGH#1",,,,,,,"Passive",
"SIGH#2",,,"Active",,,,"Passive",
"SIGHT#1",,,,,,,,
"SIGHT#2",,,,,,,,
"SIGHT#3",,,,,,,,
"SIGHT#4",,,,,,,,"Object"
"SIGHT#5",,,,,,,"Passive",
"SIGHT#6",,,,,,,,
"SIGN#1",,,,,,,,
"SIGN#2",,,"Active",,,,,
"SIGN#3",,,"Active",,,,,
"SIGN#4",,,,,,,,
"SIGNAL#1",,,,,,,,
"SIGNAL#2",,,"Active",,,,,
"SIGNATORY",,,,,,,,
"SIGNATURE",,,,,,,,"Object"
"SIGNER",,,,"Role",,,,
"SIGNIFICANCE","Positiv","Strong",,,,,,
"SIGNIFICANT","Positiv","Strong",,,,,,
"SIGNIFY","Positiv",,,,,,"Passive",
"SILENCE",,,,,,,,
"SILENT",,,,,,,"Passive",
"SILHOUETTE",,,,,,,,
"SILK",,,,,,,,"Object"
"SILLY",,,,,"Negativ","Weak",,
"SILVER",,,,,,,,
"SIMILAR#1",,,,,,,,
"SIMILAR#2",,,,,,,,
"SIMILARITY",,,,,,,,
"SIMPLE#1",,,,,,,,
"SIMPLE#2",,,,,,,,
"SIMPLE#3",,,,,,,,
"SIMPLE#4",,,,,,,,
"SIMPLICITY","Positiv",,,,,,,
"SIMPLIFY#1","Positiv",,"Active",,,,,
"SIMPLIFY#2","Positiv",,"Active",,,,,
"SIMPLISTIC",,,,,"Negativ","Weak",,
"SIMULATE#1",,,"Active",,,,,
"SIMULATE#2",,,"Active",,,,,
"SIN#1",,,,,"Negativ",,,
"SIN#2",,,,,"Negativ",,,
"SINCE#1",,,,,,,,
"SINCE#2",,,,,,,,
"SINCERE","Positiv",,,,,,,
"SINCERITY","Positiv",,,,,,,
"SINFUL",,,,,"Negativ",,,
"SING#1",,,"Active",,,,,
"SING#2",,,"Active",,,,,
"SINGAPORE",,,,,,,,
"SINGER",,,"Active","Role",,,,
"SINGLE#1",,,,,,,,
"SINGLE#2",,,,,,,,
"SINGLY",,,,,,,,
"SINISTER",,,,,"Negativ",,,
"SINK#1",,,,,,,,"Object"
"SINK#2",,,,,,"Weak","Passive",
"SIR",,,,"Role",,,,
"SISTER",,,,"Role",,,,
"SIT#1",,,,,,,,
"SIT#2",,,,,,,,
"SITE",,,,,,,,
"SITTER",,,,"Role",,,"Passive",
"SITUATE",,,"Active",,,,,
"SITUATION",,,,,,,,
"SIX",,,,,,,,
"SIXTEEN",,,,,,,,
"SIXTEENTH#1",,,,,,,,
"SIXTH#1",,,,,,,,
"SIXTY",,,,,,,,
"SIZABLE",,"Strong",,,,,,
"SIZE#1",,,,,,,,
"SIZE#2",,,"Active",,,,,
"SIZEABLE#1",,,,,,,,
"SKEPTICAL",,,,,"Negativ",,,
"SKETCH",,,"Active",,,,,"Object"
"SKETCHY",,,,,"Negativ",,,
"SKI#1",,,,,,,,"Object"
"SKI#2",,,"Active",,,,,
"SKIES",,,,,,,,
"SKILFUL#1",,,,,,,,
"SKILL#1","Positiv",,,,,,,
"SKILL#2","Positiv",,,,,,,
"SKILLFUL","Positiv",,,,,,,
"SKIN#1",,,,,,,,
"SKIN#2",,,"Active",,,,,
"SKIRMISH",,,,,"Negativ",,,
"SKIRT",,,,,,,,"Object"
"SKULK",,,,,"Negativ",,,
"SKY",,,,,,,,
"SKYLINE",,,,,,,,
"SLACK",,,,,,,,
"SLACKS",,,,,,,,"Object"
"SLAM",,"Strong","Active",,"Negativ",,,
"SLANDER",,,"Active",,"Negativ",,,
"SLANDERER",,,"Active","Role","Negativ",,,
"SLANDEROUS",,,,,"Negativ",,,
"SLAP",,,"Active",,"Negativ",,,
"SLASH",,"Strong","Active",,"Negativ",,,
"SLAUGHTER",,,"Active",,"Negativ",,,
"SLAVE#1",,,,"Role",,"Weak",,
"SLAVE#2",,,"Active",,,,,
"SLAVERY",,,,,,,,
"SLAYER",,"Strong","Active","Role","Negativ",,,
"SLEAZY",,,,,"Negativ","Weak",,
"SLEEK","Positiv",,,,,,,
"SLEEP#1",,,,,,,"Passive",
"SLEEP#2",,,,,,,"Passive",
"SLEEP#3",,,,,,,"Passive",
"SLEEPLESS",,,,,"Negativ",,,
"SLENDER",,,,,,"Weak",,
"SLEPT",,,,,,"Weak","Passive",
"SLICE#1",,,,,,,,
"SLICE#2",,,"Active",,,,,
"SLID",,,,,,,,
"SLIDE#1",,,,,,,"Passive",
"SLIDE#2",,,,,,,"Passive",
"SLIGHT#1",,,,,,"Weak",,
"SLIGHT#2",,,,,"Negativ","Weak",,
"SLIGHT#3",,,,,"Negativ","Weak",,
"SLIGHT#4",,,"Active",,"Negativ",,,
"SLIGHT#5",,,,,"Negativ",,,
"SLIM",,,,,,"Weak",,
"SLIME",,,,,"Negativ",,,"Object"
"SLIP#1",,,,,,,"Passive",
"SLIP#2",,,,,,,,"Object"
"SLIP#3",,,,,,,,"Object"
"SLIPPER",,,,,,,,"Object"
"SLOPPY",,,,,"Negativ","Weak",,
"SLOT",,,,,,,,
"SLOTH",,,,,"Negativ","Weak",,
"SLOTHFUL",,,,,"Negativ","Weak",,
"SLOW#1",,,,,,,,
"SLOW#2",,,,,,,,
"SLOW#3",,,,,,,,
"SLOW#4",,,,,,,,
"SLOW#5",,,,,,,,
"SLUG",,,,,"Negativ","Weak",,
"SLUGGISH",,,,,"Negativ","Weak",,
"SLUM",,,,,,,,
"SLUMP",,,,,"Negativ",,"Passive",
"SLY",,,,,"Negativ",,,
"SMACK",,,"Active",,"Negativ",,,
"SMALL#1",,,,,,"Weak",,
"SMALL#2",,,,,,"Weak",,
"SMALL#3",,,,,,"Weak",,
"SMART#1","Positiv","Strong",,,,,,
"SMART#2","Positiv","Strong",,,,,,
"SMART#3",,,,,,,,
"SMART#4","Positiv","Strong",,,,,,
"SMASH#1",,"Strong","Active",,"Negativ",,,
"SMASH#2",,"Strong","Active",,"Negativ",,,
"SMASH#3",,"Strong",,,,,,
"SMEAR",,,"Active",,"Negativ",,,
"SMELL#1",,,,,,,,
"SMELL#2",,,,,,,"Passive",
"SMILE#1","Positiv",,,,,,"Passive",
"SMILE#2","Positiv",,,,,,"Passive",
"SMILE#3","Positiv",,,,,,"Passive",
"SMILE#4","Positiv",,,,,,"Passive",
"SMITTEN","Positiv",,,,,,"Passive",
"SMOKE#1",,,,,,,,
"SMOKE#2",,,,,,,,
"SMOKE#3",,,,,,,,
"SMOKER",,,,"Role",,,,
"SMOKY",,,,,,,,
"SMOOTH#1",,,,,,,,
"SMOOTH#2",,,,,,,,
"SMOOTH#3",,,,,,,,
"SMOOTH#4",,,"Active",,,,,
"SMOOTH#5",,,,,,,,
"SMOTHER",,,"Active",,"Negativ",,,
"SMUGGLE",,,"Active",,"Negativ",,,
"SNACK",,,,,,,,"Object"
"SNAKE",,,,,,,,
"SNAP#1",,,,,,,,
"SNAP#2",,,"Active",,,,,
"SNARE",,,,,"Negativ",,,"Object"
"SNARL",,,,,"Negativ",,,
"SNATCH",,"Strong","Active",,"Negativ",,,
"SNEAK",,,"Active",,"Negativ",,,
"SNEER",,,"Active",,"Negativ",,,
"SNORE",,,"Active",,"Negativ",,,
"SNOW#1",,,,,,,,
"SNOW#2",,,,,,,,
"SNOW#3",,,,,,,"Passive",
"SO#1",,,,,,,,
"SO#2",,,,,,,,
"SO#3",,,,,,,,
"SO#4",,,,,,,,
"SO#5",,,,,,,,
"SO#6",,,,,,,,
"SOAR",,"Strong",,,,,,
"SOB",,,"Active",,"Negativ",,,
"SOBER","Positiv","Strong",,,,,,
"SOCIABLE","Positiv",,,,,,,
"SOCIAL#1",,,,,,,,
"SOCIAL#2",,,,,,,,
"SOCIAL#3",,,,"Role",,,,
"SOCIAL#4",,,,,,,,
"SOCIAL#5",,,,,,,,
"SOCIALISM",,,,,,,,
"SOCIALIST",,,,"Role",,,,
"SOCIETY",,,,,,,,
"SOCIOLOGICAL",,,,,,,,
"SOCIOLOGY",,,,,,,,
"SOEVER",,,,,,,,
"SOFT#1",,,,,,"Weak",,
"SOFT#2",,,,,,"Weak",,
"SOFT#3",,,,,,"Weak",,
"SOFT#4",,,,,,,,"Object"
"SOFT#5",,,,"Role",,"Weak","Passive",
"SOFTNESS","Positiv",,,,,,,
"SOIL",,,,,,,,"Object"
"SOLACE","Positiv",,,,,,,
"SOLAR",,,,,,,,
"SOLD#1",,,"Active",,,,,
"SOLD#2",,,,,,,"Passive",
"SOLD#3",,,,,,,"Passive",
"SOLDIER",,,,"Role",,,,
"SOLE",,,,,,,,
"SOLEMN",,,,,,,,
"SOLICITOR",,,,"Role",,,,
"SOLID",,"Strong",,,,,,
"SOLIDARITY",,"Strong",,,,,,
"SOLIDITY",,"Strong",,,,,,
"SOLUTION","Positiv",,,,,,,
"SOLVE",,,"Active",,,,,
"SOMALIA",,,,,,,,
"SOMBER",,,,,"Negativ",,,
"SOME#1",,,,,,,,
"SOME#2",,,,,,,,
"SOMEBODY",,,,,,,,
"SOMEHOW#1",,,,,,,,
"SOMEHOW#2",,,,,,,,
"SOMEONE",,,,,,,,
"SOMETHING#1",,,,,,,,
"SOMETHING#2",,,,,,,,
"SOMETHING#3",,,,,,,,
"SOMETIME#1",,,,,,,,
"SOMETIME#2",,,,,,,,
"SOMEWHAT",,,,,,,,
"SOMEWHERE",,,,,,,,
"SON",,,,"Role",,,,
"SONG",,,,,,,,
"SOON#1",,,,,,,,
"SOON#2",,,,,,,,
"SOON#3",,,,,,,,
"SOOTHE","Positiv",,"Active",,,,,
"SOPHISTICATED","Positiv",,,,,,,
"SORE",,,,,"Negativ",,,
"SORENESS",,,,,"Negativ",,,
"SORROW",,,,,"Negativ","Weak","Passive",
"SORROWFUL",,,,,"Negativ",,,
"SORRY#1",,,,,"Negativ","Weak","Passive",
"SORRY#2",,,,,"Negativ","Weak","Passive",
"SORT#1",,,,,,,,
"SORT#2",,,,,,,,
"SORT#3",,,,,"Negativ",,,
"SORT#4",,,"Active",,,,,
"SOUGHT","Positiv",,,,,,,
"SOUL",,,,"Role",,,,
"SOUND#1",,,,,,,,
"SOUND#2",,,,,,,,
"SOUND#3",,,,,,,,
"SOUND#4","Positiv","Strong",,,,,,
"SOUND#5",,"Strong",,,,,,
"SOUND#6","Positiv","Strong",,,,,,
"SOUND#7",,,,,,,"Passive",
"SOUNDNESS","Positiv","Strong",,,,,,
"SOUP",,,,,,,,
"SOUR",,,,,"Negativ",,,
"SOURCE",,"Strong",,,,,,
"SOUTH#1",,,,,,,,
"SOUTH#2",,,,,,,,
"SOUTH-AMERICA",,,,,,,,
"SOUTH-KOREA",,,,,,,,
"SOUTH-VIETNAM",,,,,,,,
"SOUTHEAST",,,,,,,,
"SOUTHERN",,,,,,,,
"SOUTHERNER",,,,,,,,
